fauth,year,doi,Publication type,Study Level,Sample size - N,Sample size - p,Sample size - r,data source,Basis nature,"Methods to pick n. of basis/k/knots position, ecc...",Data object of interest,data_type,Domain of the function(s),domain,Registration/alignement/warping,Medical discipline,Reference disease/condition,Variable of interest (outcome),outcome_type,Level of functional observation,Setting,Tasks,Tools (named in the main text),Language of the software for implementation,Techniques ,tech,Using FDA for,Reporting
Beaton,2025,10.64898/2025.12.03.692095,preprint,showcase,204,25,25,secondary,splines,not reported,fNIRS,exam,time and time (time series),biv,not reported,"pedia, neuro, hemodynamic",hc,chromophore concentration change,change,pat,lab,changepoint detection,"in-house, scikit-fda",python,functional time series,functional time series,inference,"text, table, 3d-plot, 2d-plot"
Boschi,2025,10.1038/s41598-025-29316-4,oa,showcase,7270,150,1,secondary,B-splines o3,GCV,mortality,clin,time,time,reported,"epidemiology and public health, infec",COVID-19,death,binary,grp,practice,"pattern recognition, estimate associations, feature selection","in-house, scikit-fda",python,"hierarchical clustering, fosr, fofr, fasten","hierarchical clustering, fosr, fofr, fasten",inference,"text, 2d-plot"
McKeague,2025,10.1002/acn3.70180,oa,production,14,500,1,secondary,/,not reported,time-in-activity,clin,activity level,other,not reported,neuro,rare disease,activity level change,change,sub-pat,lab,compare,fdEL,R,empirical likelihood based inference for functional means,empirical likelihood based inference for functional means,inference,"text, 2d-plot"
Aragón-Basanta,2025,10.1038/s41598-025-24411-y,oa,showcase,56,/,6,primary,/,not reported,ground force,sens,completion,time_var,not reported,Sports Physiatry and Orthopedics,osteoarthritis,diagnosis,binary,sub-pat,practice,classification,"fda, fda.usc",R,functional logistic regression,generalized functional regression,prediction,"text, 2d-plot, performance"
Jaoua,2025,10.1038/s41431-025-01935-5,abstract,showcase,100,20000,1,secondary,/,not reported,biomarkers,lab,time,time,not reported,"genetics, epidemiology and public health, infec",COVID-19,death,binary,pat,practice,description,in-house,/,latent bayesian FPCA,fPCA_alt,description,text
Navarro-Gallinad,2025,10.1038/s41431-025-01935-5,abstract,production,10000,52,7000,secondary,/,not reported,protein levels,lab,time,time,not reported,genetics,CV and respiratory disease,/,/,pat,lab,pattern recognition,/,/,/,/,description,text
Fontana,2025,10.1038/s41431-025-01935-5,abstract,production,/,/,/,public,/,not reported,BMI,clin,time,time,not reported,"genetics, endo",DM,diagnosis,binary,pat,lab,estimate associations,/,/,functional mendelian randomization,functional mendelian randomization,inference,text
Fraser,2025,10.1210/jendso/bvaf149.911,abstract,showcase,1067,2088,1,public,/,not reported,glycemic levels,sens,time,time,not reported,endo,DM,diagnosis,binary,pat,lab,pattern recognition,/,/,fPCA,fPCA,description,text
Martens,2025,10.1007/s00455-025-10828-0,abstract,showcase,20,15000,4,primary,/,not reported,pressure,sens,time and frequency,biv,not reported,pedia,hc,/,/,sub-pat,lab,description,/,/,multilevel fPCA,fPCA_alt,description,text
Shim,2025,10.1101/2025.09.26.25336772,preprint,production,2222,/,1,public,fourier,not reported,accelerometer,sens,time,time,not reported,physiology,hc,aging,continous,pat,lab,"description, pattern recognition",in-house,python,fPCA,fPCA,description,text
Pellegrino,2025,10.2139/ssrn.5461135,preprint,showcase,172,,1,public,B-splines o4,not reported,severity scale,clin,time,time,not reported,neuro,Parkinson,severity scale,continous,pat,practice,"description, pattern recognition","scikit-fda, sklearn-extra",python,fPCA,fPCA,description,"text, 2d-plot"
Skoe,2025,10.1038/s41598-025-10730-7,oa,production,108,2688,1,primary,B-splines o3,"BIC, GCV",sound exposure,sens,time,time,reported,oto,tinnitus,sound level,continous,pat,lab,compare,"splines, glmnet, fregion",R,pointwise wilcoxon with fdr,IWT,inference,"text, 2d-plot"
Xu,2025,10.1101/2025.07.26.25332240,preprint,showcase,100,96,12,public,/,not reported,glycemic levels,sens,time,time,not reported,endo,DM,glicemic level,continous,sub-pat,lab,estimate associations,/,/,fosr,registration,inference,text
Gao,2025,10.1007/s12561-024-09439-4,oa-m,new methods,373,30000,1,public,/,not reported,hippocamus shape and size from surface,htt,space,2d3dspace,not reported,neuro,Alzheimer,diagnosis,binary,pat,lab,"estimate associations, classification",/,/,"fPCA, fIPW, fAFT","fPCA, fIPW, fAFT",inference,text
Kong,2025,10.1177/09622802251340259,oa-m,new methods,289,/,1,public,B-splines,not reported,CD4 counts,lab,time,time,not reported,infec,AIDS,treatment response,binary,pat,lab,"estimate associations, classification",/,/,gam,generalized functional regression,inference,text
Canton,2025,10.1016/j.jeph.2025.203022,abstract,showcase,/,/,1,public,/,not reported,covid tests,clin,time,time,not reported,infec,COVID-19,/,/,grp,practice,"description, pattern recognition",/,/,/,/,description,text
Gioscio,2025,10.1016/S0167-8140(25)01749-9,abstract,showcase,1560,/,/,secondary,/,not reported,RT dose,exam,space,2d3dspace,not reported,oncology and radiation oncology,prostate k,toxicity,binary,pat,practice,description,/,/,"fPCA, fLDA","fPCA, fLDA",description,"text, 2d-plot"
Yu,2025,10.1007/s12561-023-09412-7,oa-m,new methods,120,172,116,public,B-splines,not reported,MRI,exam,space,2d3dspace,not reported,radiology,ADHD,severity index,continous,pat,lab,prediction,/,/,functional partial quantile regression,generalized functional regression,prediction,"text, 2d-plot, performance"
Loffredo,2025,10.1002/sim.10344,oa-m,new methods,520,173,1,public,/,not reported,SOFA score (0-24),clin,time,time,not reported,intensive care,organ failure,death,binary,pat,practice,estimate associations,refund,R,Random Survival Forest for Censored Functional Data,Random Survival Forest,inference,"text, table"
Gordon,2025,10.1089/dia.2024.78502.abstracts,abstract,production,68,/,1,primary,/,not reported,glycemic levels,sens,time,time,not reported,endo,pregnancy,/,/,pat,practice,pattern recognition,/,R,/,/,description,"text, 2d-plot"
